"Stand for Alaska Vote No on 1, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Donlin Gold Alaska, Anchorage, Alaska, ConocoPhillips Alaska, Anchorage, Alaska, and Kinross Fort Knox, Fairbanks, Alaska.",500000
Alaskans for Begich 2018,500000
"Stand for Alaska Vote No on 1, 200 West 34th Avenue, PMB 1219, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Teck Alaska, Anchorage, Alaska, ConocoPhillips Alaska, Anchorage, Alaska, and Kinross Fort Knox, Fairbanks, Alaska",100000
State of Alaska Division of Elections,50000
"Stand for Alaska Vote No on 1, 200 West 34th Avenue, PMB 1219, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Kinross Fort Knox, Fairbanks, Alaska, Sumitomo Metal Mining Pogo LLC, Delta Junction, Alaska and Donlin Gold, Anchorage, Alaska.",50000
"Scott Hawkins For Governor, 130 Shelly Marie Circle, Anchorage, Alaska 99515",50000
Protect Our Care,50000
March For Life,50000
Americans For Prosperity,50000
the National Education Association,10000
an Alaska-based non-profit,10000
Unite Alaska for Walker-Mallott,10000
"The top contributor of Working Families of Alaska is Laborers’ Local 341 of Anchorage, Alaska.",10000
The Nature Conservancy,10000
"Stand for Salmon, Anchorage, AK. Michael Wood, Chair, approved this message. The Top 3 contributors are Alaska Conservation Foundation, Anchorage, AK; Thomas Barron, Boulder, CO; and Cook Inletkeeper, Homer, AK.",10000
"Stand for Alaska Vote No on 1, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Donlin Gold Alaska, Anchorage, Alaska, ConocoPhillips Alaska, Anchorage, Alaska, and BP Alaska, Anchorage, Alaska",10000
Sharon Jackson for LG,10000
"Pruitt for State House, PO Box 210854, Anchorage, AK, 99521",10000
"Paid for by Stand for Alaska Vote No on 1, 200 West 34th Avenue, PMB 1219, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Donlin Gold Alaska, Anchorage, Alaska, Teck, Anchorage, Alaska, and ConocoPhillips Alaska, Anchorage, Alaska.",10000
National Association of Home Builders,10000
Kevin Meyer for Lt. Governor,10000
Kenai River Sportfishing Association,10000
"Call for Lt. Governor 2018, 205 E Dimond Blvd., #203, Anchorage, AK 99515",10000
"Bill Walker for Governor and Byron Mallott for Lieutenant Governor, 601 w 5th Ave, Suite 200, Anchorage AK 99501",10000
Begich for Alaska,10000
Alaskans for Dunleavy,10000
Alaska Family Action,10000
DeLena Johnson for House 944 S Cobb St. Palmer 99645,9996
the Leadership Conference on Civil and Human Rights ,5000
"Working Families of Alaska of Anchorage, AK. I am Joey Merrick, Chair, I approve this message. Top contributor is Local 341 of Anchorage, AK.",5000
Treadwell Alaska Committee,5000
The Leadership Conference on Civil and Human Rights ,5000
"The Friends of Scott Kawasaki; 2008 Carr Ave; Fairbanks, AK 99709",5000
Stanley Swetzof for State House,5000
Stand for Salmon,5000
"Stand for Alaska Vote No on 1, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are ConocoPhillips Alaska, Anchorage, Alaska, Donlin Gold LLC, Anchorage, Alaska and BP Alaska, Anchorage, Alaska.",5000
Protect Our Care Alaska,5000
National Shooting Sports Foundation,5000
National Congress of American Indians,5000
"Must Read Alaska, with current events of interest to Alaskans",5000
Marcus Sanders for State House,5000
League of Conservation Voters,5000
Jim Colver for State House,5000
Governor Bill Walker,5000
Friends of Sam Tuck,5000
"Fogle for Alaska 5910 West Tree Dr, Anchorage, AK 99507",5000
Families of the Last Frontier,5000
"Chuck Kopp for State House. 12010 Shore Circle, Anchorage , AK 99515 ",5000
Carpenterforhouse,5000
"Alaskans for Kevin Meyer PO Box 895 Soldotna, AK 99669. Regina Daniels, Chair and Linda Hutchings, Treasurer. This NOTICE TO VOTERS is required by Alaska law. I certify that this communication is not authorized, paid for, or approved by the candidate.",5000
AARP Alaska ,5000
Kaleido Health Solutions,2058
Movement Advancement Project,1835
The Democratic Coalition,1473
"the John Nelson for Alaskans Campaign | P.O Box 670123 Chugiak, AK 99567",1000
the ASPCA,1000
"friends of Marilyn Stewart, PO Box 92072 Anchorage, AK 99509",1000
Zack Fields for State House ,1000
"Willy Dunne, 40508 Waterman Rd., Homer AK 99603",1000
"Weatherby for District 37, PO Box 611, King Salmon, AK. 99613",1000
We Are Alaska,1000
"Vote Johnston 11090 Hideaway Lake Dr. Anchorage, AK 99507",1000
"Vote Edie Grunwald, PO Box 896, Palmer, Alaska 99645",1000
"The Alaska Support Industry Alliance, 3301 C Street, Suite 205, Anchorage, AK 99503",1000
The Alaska Right To Life Committee,1000
The Alaska Landmine,1000
