Marsy's Law for Oklahoma SQ 794,"[7379601, 16109131]"
Yes On 793,"[2933736, 7751164]"
OK United,"[1572000, 4482926]"
Oklahomans for Constitutional Integrity,"[1542000, 3280984]"
Gentner Drummond,"[1433013, 4081645]"
Kevin Stitt for Governor,"[1374726, 4025055]"
Foundation for Economic Prosperity,"[1134000, 2571985]"
Free the States,"[720000, 2006968]"
OKTreasure.com,"[700000, 1499998]"
Yes on SQ788,"[650997, 1606964]"
Mike Hunter for Attorney General,"[601000, 1802964]"
Mick for Governor,"[509955, 1927617]"
NO New Oklahoma TAXES,"[505822, 1542421]"
KWTV - NEWS 9,"[498985, 1820887]"
Kevin Hern,"[431993, 1481924]"
Oklahomans Against 793,"[414051, 988096]"
Dan Fisher for Governor,"[398000, 925985]"
Gary Jones for Oklahoma,"[330828, 1468617]"
CFG Action,"[326953, 862872]"
Oklahoma Health Action,"[319000, 1301678]"
Tom Cole,"[301000, 1064943]"
Oklahoma Call for Reproductive Justice,"[286000, 1404512]"
Tim Gilpin for Congress 2018,"[284000, 1096941]"
Oklahoma Second Amendment Association,"[277000, 1162951]"
Gary Richardson for Governor,"[276000, 714994]"
SQ 788 is NOT Medical,"[272000, 730976]"
Oklahoma Oil and Gas Association,"[261000, 1079970]"
ExxonMobil,"[244231, 554308]"
Markwayne Mullin,"[229783, 538540]"
Bill Day,"[226000, 785946]"
Cindy Byrd for State Auditor,"[225000, 617981]"
Americans for Prosperity - Oklahoma,"[224000, 625979]"
Shady Kevin Stitt,"[215000, 559997]"
Oklahoma Faith Leaders,"[210000, 449996]"
Oklahomans For Energy Options,"[197000, 504985]"
Andy Coleman for Congress,"[191000, 498969]"
Elect Ben Fu,"[189576, 512993]"
Cathy Costello For Labor Commissioner,"[173000, 764931]"
Dana Murphy,"[162000, 447966]"
Darren Gantz for Assessor,"[146996, 523944]"
Bill Coleman,"[138043, 647196]"
Elizabeth Warren,"[136086, 710150]"
Jason Nichols for Congress,"[119626, 469978]"
Together Oklahoma,"[105000, 450977]"
Opinion Research,"[100936, 508565]"
Natalie Mai for District Judge,"[100000, 452957]"
John Legend,"[100000, 199999]"
Congressman Markwayne Mullin,"[99561, 199121]"
Amanda Douglas for Congress,"[93992, 371889]"
Dennis Dugger for State House,"[90984, 278883]"
Jason May,"[90961, 424809]"
Chris Sloan for District Judge,"[87000, 270992]"
Solar Energy Today,"[83128, 361420]"
Daniel Regan for Tulsa City Council,"[83000, 339942]"
Stan May for State House,"[81780, 334788]"
John Pfeiffer for State Representative,"[80942, 346586]"
Stan Sallee for Tulsa County Commissioner,"[80000, 249996]"
John Wright for Tulsa County Assessor,"[79993, 219980]"
Hank Young for Judge,"[79000, 380987]"
