Hoosier Country,24882997,76852643
Working For Us,6749000,19767720
"Curtis Hill, Indiana Attorney General",4680000,10854948
One Nation,4352024,11031988
Joe Donnelly,4308493,12880390
Mike Braun,3390346,9508003
Judicial Crisis Network,3270000,7099975
Indiana Commission for Higher Education,3120000,6800976
Sleeping Joe,2505848,6229607
Mexico Joe,2075000,5336919
Indiana Secretary of State Connie Lawson,1965476,4500017
Stand for Children - Indiana,1388000,2875975
MO Research,1254225,2757456
RALI Indiana,1015000,2259993
Demand Justice,1008467,2374300
Senator Jim Merritt,710000,1749995
Representative Trey Hollingsworth,709926,1677080
Americans for Prosperity Foundation,645309,1512094
Indiana Republican Party,591000,1504991
AARP Advocates,560000,1149997
Indiana Conservative Alliance for Energy,536000,1269984
Americans for Prosperity,527938,1563704
All-Options Pregnancy Resource Center,509000,2283384
Curtis Hill,485000,1209984
Our Next America,440000,1099992
Senate Leadership Fund,390000,1199982
Tobacco Free Indiana,375865,1193192
Fight Back,352230,921860
Mike Braun Isn't Fooling Hoosiers,323000,924979
Trey Hollingsworth,304614,871396
Indiana Democratic Party,267743,907162
AFL-CIO,266730,533459
The Tax Scam,260000,649997
Hatfield For Commissioner,230000,651985
America First Policies,226072,641287
Auto Alliance,221000,504994
Zaki Ali for Indiana State Senate,216000,464994
NumbersUSA,209851,523695
EDF Action,206045,507360
Faith and Freedom Coalition,185000,460992
CARE Action,175385,440764
Beacon Health,169930,424825
Mel Hall,163882,645393
Planned Parenthood Action,155161,626528
Speak Up For Education and Kids,147172,515893
National Shooting Sports Foundation | NSSF,135000,359994
America First Action,130000,350048
Nicole Ludlow for Elkhart County Auditor,128000,580977
GOP,124006,931481
Lambda Legal,120885,302211
Leslie A. Baker for Starke County Prosecutor,119901,484420
Congressman Jim Banks,119597,273145
Howard County Democratic Party,118000,508960
Jackie Walorski,115436,415177
Indiana AFL CIO,112000,259995
Environmental Defense Fund,100570,203299
POET,100000,202024
MapleTwig,95000,351945
The Leadership Conference on Civil and Human Rights,94723,409704
ReBuild USA,92171,220067
Connor Caudill for IU Trustee,91973,312649
Solar Energy Today,87141,271487
Chris Switzer for Vigo County Council,83945,336685
Senator Ron Grooms,78037,156073
Tom Steyer,75014,335692
Dave Cravens for Indiana Senate District 26,70989,239953
Association for Accessible Medicines,70024,170113
Roaming Bison Wind,70000,263957
Donald J. Trump,65934,487802
Courtney Tritch,63913,299413
Goodwin For Terre Haute,63199,183073
Energy Citizens,60220,233961
William Tanoos for Congress,59923,292547
Modern Medicaid Alliance,54000,236973
MedicareSupplement.com,53000,420818
Marsy's Law for Kentucky,52456,108755
Matthew Dodson,52000,110996
14 NEWS,50409,100818
Jorge Fernandez for Indiana House of Representatives 50th District,50000,100998
The March for Life,50000,99999
Dave Ring,47000,168973
Elect Mike Gaskill,43000,185991
PragerU,40851,96246
Levco for Prosecutor,40000,169995
Joe Lannan for Indiana State Representative - District 63,40000,163842
Tony Skinner for Delaware County Sheriff,39000,151989
Ashlee Lauren Photo,38000,84990
Dee Thornton for Congress,36000,125983
Community Health Network,36000,125983
Whelan for HSE School Board,35000,134981
Liz for Indiana,34576,146066
St. Joseph County Democratic Party,34000,140725
Pete Visclosky for Congress,32165,154568
Central Indiana Community Foundation,31000,125994
Vicky Woeste for Tippecanoe County Clerk,31000,118972
Neighbors for Steve Folz for State Representative House District 76,30914,127551
ExxonMobil,30385,71738
Alliance for Justice Action Campaign,30000,396679
James Peters for Congress,30000,222915
Indiana Senate GOP,28052,140258
Jerry Asher for Sheriff,28000,124994
ACLU,26860,67737
The Western Journal,25492,121824
Chris Chyung for State Rep,25000,110994
Concealed Online,24998,79912
Roy Overshiner- Moving Forward for a Safer County,24997,165930
Anna for Indiana,24339,85618
National Republican Congressional Committee,24259,79439
NAACP Legal Defense Fund,24221,48507
Boredom Therapy,24093,53932
Vote Jon Ford,24000,123990
Natalie Guest,24000,105988
Jason Dombkowski for Tippecanoe County Sheriff,24000,75987
Charles Johnson,23623,115082
Sharon Tucker for Council,23000,118991
Derek Camp for State Senate,22000,109996
Hoosier Environmental Council,22000,99963
Hermann for Prosecutor,21901,97433
JB Pritzker,20579,75393
Levi's,20373,40744
Zay for State Senate,20000,88980
Convention of States,19517,39035
Everytown for Gun Safety,18823,44041
Right to Life of Southwest Indiana,18750,94561
Michigan Families for Economic Prosperity,18318,48478
Aimee Rivera Cole for District 37,18000,101959
Dale Nowlin for State Rep,18000,94986
Sheriff Frank Loop,18000,76993
Jim Tomes,18000,74995
Indiana Animal Rights Alliance,18000,74995
4ocean,17611,44083
Consumer Action for a Strong Economy,17250,94088
Hoosier Action,17000,69996
NRA Institute for Legislative Action,16394,65986
Sierra Club,16367,40823
Ryan Ballard for County Council District 1,16000,64997
Delaware County Republican Party - Indiana,16000,52989
Larry Bucshon,15944,64742
Americans for Prosperity - Indiana,15650,66392
Newsmax,15196,30391
Pam Buchanan for Judge,15000,80988
Shannon E. Kohl for Mayor of Martinsville,15000,75993
Jesse Harper For Center Township Trustee,15000,46991
NRATV,14009,37726
Planned Parenthood,14003,43216
Contrariana,14000,70985
Tony Adrian for Perry Trustee,14000,58986
Harlan Vondersaar for State House District 28,14000,57987
Aaron Henderson For Blackford County Prosecutor 2018,14000,57987
Nick Siler,13434,41860
United States Constitution,13263,37609
Gary Snyder for State Senate,13000,77831
Steve Barnett for Franklin Mayor,13000,64996
Tim Smith for Mayor,13000,59981
Jerry Reinhard for NWCS Rock Creek Township,13000,55985
Save The Nickel Plate,13000,35994
Poonam Gill for State Rep,13000,34995
Katie Morgan for School Board,12986,60911
NARAL Pro-Choice America,12898,30521
WNBA,12725,39439
Good Jobs Nation,12500,76541
Alliance Defending Freedom,12479,31227
National Wildlife Federation Action Fund,12038,60061
MoveOn,12004,76849
Rick Meyer For Jackson County Sheriff,12000,44992
Committee to Elect James Amodeo for Vigo County Council District Four,12000,30995
JD Ford for State Senate,12000,29996
Donna Sipes for Shelby County Coroner,12000,29996
Patagonia,11671,55442
Human Rights Campaign,11127,55249
Rhonda Greene for Washington County Auditor,11000,72971
CUSTY for Duneland School Board,11000,57995
Fed of American Hospitals,11000,56996
Erin Vahrenkamp for Clay Township Board,11000,55997
People To Elect William L Howard II,11000,46986
John Crawford for Mayor,11000,26995
NRA - National Rifle Association of America,10858,25733
Kamala Harris,10748,37966
DoSomething.org,10290,51331
Domestic Steel,10041,50081
Kosciusko County Democrats,10000,52996
Riley Children's Foundation,10000,49999
National Loan Programs,10000,49999
Jeff Fryzel Team,10000,49999
I'm for Mike Moore,10000,49999
Economic Prosperity Project,10000,49999
Benker for Clark-Pleasant School Board,10000,40988
Marion County Sheriff's Office (IN),9997,49982
Indiana Electric Cooperatives,9989,52933
Warrior 12,9883,24744
UPROXX News,9748,19495
Sweeney Julian Personal Injury Trial Attorneys,9736,48679
We The People Holsters,9690,26695
Sheila Brillson for LaPorte County Commissioner,9586,96310
Vanderburgh County Prosecutor's Office,9268,46337
Steve McMichael for Mayor,9000,51984
Brock for Indiana,9000,51984
County Councilman Clayton Whitson,9000,45990
Chris Stidham for Portage Mayor,9000,41983
